FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,MARITAL_STATUS,Stato civile,Tempo (TIME_PERIOD),Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y0,0 anni,99,Totale,2023,203968,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y1,1 anni,99,Totale,2023,206457,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y2,2 anni,99,Totale,2023,211046,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y3,3 anni,99,Totale,2023,219154,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y4,4 anni,99,Totale,2023,229863,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y5,5 anni,99,Totale,2023,240259,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y6,6 anni,99,Totale,2023,246571,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y7,7 anni,99,Totale,2023,253188,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y8,8 anni,99,Totale,2023,260787,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y9,9 anni,99,Totale,2023,264658,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y10,10 anni,99,Totale,2023,276098,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y11,11 anni,99,Totale,2023,281024,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y12,12 anni,99,Totale,2023,289472,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y13,13 anni,99,Totale,2023,293739,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y14,14 anni,99,Totale,2023,297046,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y15,15 anni,99,Totale,2023,297391,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y16,16 anni,99,Totale,2023,298599,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y17,17 anni,99,Totale,2023,297619,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y18,18 anni,99,Totale,2023,301360,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y19,19 anni,99,Totale,2023,297279,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y20,20 anni,99,Totale,2023,296590,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y21,21 anni,99,Totale,2023,301836,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y22,22 anni,99,Totale,2023,310282,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y23,23 anni,99,Totale,2023,309038,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y24,24 anni,99,Totale,2023,313299,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y25,25 anni,99,Totale,2023,310157,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y26,26 anni,99,Totale,2023,310103,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y27,27 anni,99,Totale,2023,307623,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y28,28 anni,99,Totale,2023,308862,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y29,29 anni,99,Totale,2023,312660,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y30,30 anni,99,Totale,2023,325236,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y31,31 anni,99,Totale,2023,323031,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y32,32 anni,99,Totale,2023,329611,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y33,33 anni,99,Totale,2023,326191,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y34,34 anni,99,Totale,2023,334613,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y35,35 anni,99,Totale,2023,327153,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y36,36 anni,99,Totale,2023,328128,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y37,37 anni,99,Totale,2023,337305,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y38,38 anni,99,Totale,2023,343828,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y39,39 anni,99,Totale,2023,349785,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y40,40 anni,99,Totale,2023,361013,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y41,41 anni,99,Totale,2023,362289,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y42,42 anni,99,Totale,2023,372574,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y43,43 anni,99,Totale,2023,382249,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y44,44 anni,99,Totale,2023,402539,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y45,45 anni,99,Totale,2023,414240,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y46,46 anni,99,Totale,2023,431937,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y47,47 anni,99,Totale,2023,451742,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y48,48 anni,99,Totale,2023,469420,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y49,49 anni,99,Totale,2023,465152,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y50,50 anni,99,Totale,2023,470049,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y51,51 anni,99,Totale,2023,472221,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y52,52 anni,99,Totale,2023,467571,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y53,53 anni,99,Totale,2023,478695,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y54,54 anni,99,Totale,2023,473639,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y55,55 anni,99,Totale,2023,473758,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y56,56 anni,99,Totale,2023,478635,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y57,57 anni,99,Totale,2023,476139,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y58,58 anni,99,Totale,2023,480494,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y59,59 anni,99,Totale,2023,446897,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y60,60 anni,99,Totale,2023,428978,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y61,61 anni,99,Totale,2023,417506,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y62,62 anni,99,Totale,2023,402654,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y63,63 anni,99,Totale,2023,390399,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y64,64 anni,99,Totale,2023,369644,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y65,65 anni,99,Totale,2023,363179,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y66,66 anni,99,Totale,2023,353413,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y67,67 anni,99,Totale,2023,343776,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y68,68 anni,99,Totale,2023,334882,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y69,69 anni,99,Totale,2023,318050,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y70,70 anni,99,Totale,2023,308681,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y71,71 anni,99,Totale,2023,304078,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y72,72 anni,99,Totale,2023,310891,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y73,73 anni,99,Totale,2023,308022,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y74,74 anni,99,Totale,2023,314675,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y75,75 anni,99,Totale,2023,301503,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y76,76 anni,99,Totale,2023,293180,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y77,77 anni,99,Totale,2023,219447,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y78,78 anni,99,Totale,2023,218824,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y79,79 anni,99,Totale,2023,211157,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y80,80 anni,99,Totale,2023,201268,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y81,81 anni,99,Totale,2023,193453,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y82,82 anni,99,Totale,2023,201945,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y83,83 anni,99,Totale,2023,187588,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y84,84 anni,99,Totale,2023,168211,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y85,85 anni,99,Totale,2023,142338,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y86,86 anni,99,Totale,2023,119197,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y87,87 anni,99,Totale,2023,108884,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y88,88 anni,99,Totale,2023,91756,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y89,89 anni,99,Totale,2023,75908,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y90,90 anni,99,Totale,2023,61012,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y91,91 anni,99,Totale,2023,49910,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y92,92 anni,99,Totale,2023,40758,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y93,93 anni,99,Totale,2023,28824,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y94,94 anni,99,Totale,2023,20835,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y95,95 anni,99,Totale,2023,14946,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y96,96 anni,99,Totale,2023,9997,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y97,97 anni,99,Totale,2023,6589,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y98,98 anni,99,Totale,2023,4276,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y99,99 anni,99,Totale,2023,2833,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,Y_GE100,100 anni e più,99,Totale,2023,3730,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,1,Maschi,TOTAL,Totale,99,Totale,2023,28749359,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y0,0 anni,99,Totale,2023,191380,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y1,1 anni,99,Totale,2023,195997,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y2,2 anni,99,Totale,2023,198677,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y3,3 anni,99,Totale,2023,208065,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y4,4 anni,99,Totale,2023,216861,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y5,5 anni,99,Totale,2023,226363,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y6,6 anni,99,Totale,2023,233760,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y7,7 anni,99,Totale,2023,239251,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y8,8 anni,99,Totale,2023,246234,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y9,9 anni,99,Totale,2023,249747,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y10,10 anni,99,Totale,2023,260586,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y11,11 anni,99,Totale,2023,264859,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y12,12 anni,99,Totale,2023,271991,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y13,13 anni,99,Totale,2023,276509,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y14,14 anni,99,Totale,2023,280564,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y15,15 anni,99,Totale,2023,279163,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y16,16 anni,99,Totale,2023,279585,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y17,17 anni,99,Totale,2023,278059,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y18,18 anni,99,Totale,2023,282489,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y19,19 anni,99,Totale,2023,276671,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y20,20 anni,99,Totale,2023,275530,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y21,21 anni,99,Totale,2023,279003,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y22,22 anni,99,Totale,2023,283722,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y23,23 anni,99,Totale,2023,280571,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y24,24 anni,99,Totale,2023,281686,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y25,25 anni,99,Totale,2023,283161,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y26,26 anni,99,Totale,2023,284913,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y27,27 anni,99,Totale,2023,284758,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y28,28 anni,99,Totale,2023,289601,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y29,29 anni,99,Totale,2023,296419,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y30,30 anni,99,Totale,2023,309268,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y31,31 anni,99,Totale,2023,309785,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y32,32 anni,99,Totale,2023,315784,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y33,33 anni,99,Totale,2023,317416,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y34,34 anni,99,Totale,2023,325045,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y35,35 anni,99,Totale,2023,320066,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y36,36 anni,99,Totale,2023,322291,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y37,37 anni,99,Totale,2023,333188,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y38,38 anni,99,Totale,2023,339842,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y39,39 anni,99,Totale,2023,346020,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y40,40 anni,99,Totale,2023,358824,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y41,41 anni,99,Totale,2023,361856,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y42,42 anni,99,Totale,2023,369601,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y43,43 anni,99,Totale,2023,383228,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y44,44 anni,99,Totale,2023,402930,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y45,45 anni,99,Totale,2023,417360,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y46,46 anni,99,Totale,2023,435408,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y47,47 anni,99,Totale,2023,456290,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y48,48 anni,99,Totale,2023,474509,e,Dato stimato
A,Annuale,IT,Italia,JAN,Popolazione al 1º gennaio,2,Femmine,Y49,49 anni,99,Totale,2023,472809,e,Dato stimato
